Timestamp,open,high,low,close,volume
2025-12-11 16:01:54,90228.0,90346.9,90163.4,90204.1,123.209563
2025-12-11 16:01:55,90228.0,90346.9,90163.4,90204.1,123.209578
2025-12-11 16:01:58,90228.0,90346.9,90163.4,90219.6,123.511206
2025-12-11 16:01:59,90228.0,90346.9,90163.4,90222.0,123.511475
2025-12-11 16:02:01,90228.0,90346.9,90163.4,90218.4,124.130923
2025-12-11 16:02:02,90228.0,90346.9,90163.4,90216.7,124.131023
2025-12-11 16:02:03,90228.0,90346.9,90163.4,90216.7,124.1312
2025-12-11 16:02:04,90228.0,90346.9,90163.4,90216.7,124.153369
2025-12-11 16:02:11,90228.0,90346.9,90163.4,90216.7,124.153383
2025-12-11 16:02:14,90228.0,90346.9,90163.4,90216.7,124.175552
2025-12-11 16:02:15,90228.0,90346.9,90163.4,90216.7,124.336583
2025-12-11 16:02:16,90228.0,90346.9,90163.4,90216.7,124.336595
2025-12-11 16:02:18,90228.0,90346.9,90163.4,90204.0,124.516021
2025-12-11 16:02:20,90228.0,90346.9,90163.4,90206.6,124.583392
2025-12-11 16:02:21,90228.0,90346.9,90163.4,90206.6,124.583485
2025-12-11 16:02:22,90228.0,90346.9,90163.4,90206.6,124.584126
2025-12-11 16:02:23,90228.0,90346.9,90163.4,90206.5,124.585961
2025-12-11 16:02:24,90228.0,90346.9,90163.4,90206.6,124.598588
2025-12-11 16:02:25,90228.0,90346.9,90163.4,90206.5,124.599228
2025-12-11 16:02:27,90228.0,90346.9,90163.4,90206.5,124.681711
2025-12-11 16:02:28,90228.0,90346.9,90163.4,90205.6,124.68235
2025-12-11 16:02:29,90228.0,90346.9,90163.4,90205.5,124.719949
2025-12-11 16:02:30,90228.0,90346.9,90163.4,90205.6,124.724961
2025-12-11 16:02:34,90228.0,90346.9,90163.4,90205.5,124.725599
2025-12-11 16:02:37,90228.0,90346.9,90163.4,90205.6,124.73329
2025-12-11 16:02:38,90228.0,90346.9,90163.4,90205.6,124.733749
