Price,close,high,low,open,volume,rsi,macd,macd_signal,macd_hist,ema_20,ema_50,sma_20,bb_high,bb_low
2014-09-17,457.3340148925781,468.1740112304688,452.4219970703125,465.864013671875,21056800.0,,,,,,,,,
2014-09-18,424.4400024414063,456.8599853515625,413.10400390625,456.8599853515625,34483200.0,,,,,,,,,
2014-09-19,394.7959899902344,427.8349914550781,384.5320129394531,424.1029968261719,37919700.0,,,,,,,,,
2014-09-20,408.9039916992188,423.2959899902344,389.8829956054688,394.6730041503906,36863600.0,,,,,,,,,
2014-09-21,398.8210144042969,412.4259948730469,393.1809997558594,408.0849914550781,26580100.0,,,,,,,,,
2014-09-22,402.1520080566406,406.9159851074219,397.1300048828125,399.1000061035156,24127600.0,,,,,,,,,
2014-09-23,435.7909851074219,441.5570068359375,396.1969909667969,402.0920104980469,45099500.0,,,,,,,,,
2014-09-24,423.2049865722656,436.1119995117188,421.1319885253906,435.7510070800781,30627700.0,,,,,,,,,
2014-09-25,411.5740051269531,423.5199890136719,409.4679870605469,423.156005859375,26814400.0,,,,,,,,,
2014-09-26,404.4249877929688,414.93798828125,400.0090026855469,411.4289855957031,21460800.0,,,,,,,,,
2014-09-27,399.5199890136719,406.62298583984375,397.37200927734375,403.5559997558594,15029300.0,,,,,,,,,
2014-09-28,377.1809997558594,401.0169982910156,374.3320007324219,399.4710083007813,23613300.0,,,,,,,,,
2014-09-29,375.4670104980469,385.21099853515625,372.239990234375,376.9280090332031,32497700.0,,,,,,,,,
2014-09-30,386.9440002441406,390.97698974609375,373.4429931640625,376.0880126953125,34707300.0,33.933723525639806,,,,,,,,
2014-10-01,383.614990234375,391.3789978027344,380.7799987792969,387.427001953125,26229400.0,32.93373192387091,,,,,,,,
2014-10-02,375.0719909667969,385.49700927734375,372.9460144042969,383.9880065917969,21777700.0,30.453554355714928,,,,,,,,
2014-10-03,359.5119934082031,377.6950073242188,357.8590087890625,375.1809997558594,30901200.0,26.534065257701556,,,,,,,,
2014-10-04,328.8659973144531,364.4869995117188,325.885986328125,359.8919982910156,47236500.0,20.843956868586176,,,,,,,,
2014-10-05,320.510009765625,341.8009948730469,289.2959899902344,328.9159851074219,83308096.0,19.6091895757757,,,,,,,,
2014-10-06,330.0790100097656,345.1340026855469,302.5599975585937,320.3890075683594,79011800.0,25.08240149085384,,,,383.8831801457366,,389.91039886474607,459.22700076397643,320.5937969655157
2014-10-07,336.18701171875,339.2470092773437,320.48199462890625,330.5840148925781,49199900.0,28.431847125076942,,,,379.34068791459504,,383.85304870605466,449.62596867096426,318.0801287411451
2014-10-08,352.94000244140625,354.364013671875,327.18798828125,336.1159973144531,54736300.0,36.780527501497374,,,,376.8263369171485,,380.2780487060547,444.5945910873064,315.96150632480294
