,time,open,high,low,close,volume,volumeto
0,2021-01-01 00:00:00,28972.4,29074.84,28748.21,29048.9,2563.47,74187107.96
1,2021-01-01 01:00:00,29048.9,29522.86,29015.06,29465.74,5281.86,155102270.12
2,2021-01-01 02:00:00,29465.74,29509.78,29175.4,29237.6,2526.0,74156605.91
3,2021-01-01 03:00:00,29237.6,29393.34,29212.96,29341.42,1316.75,38596648.99
4,2021-01-01 04:00:00,29341.42,29436.68,29125.09,29272.63,1930.17,56577261.22
5,2021-01-01 05:00:00,29272.63,29282.21,29144.24,29227.43,1449.74,42360087.94
6,2021-01-01 06:00:00,29227.43,29301.13,29149.49,29215.64,1659.16,48493421.83
7,2021-01-01 07:00:00,29215.64,29227.41,28903.98,29150.46,2424.08,70481038.91
8,2021-01-01 08:00:00,29150.46,29224.52,28932.12,29057.99,1993.87,57974054.34
9,2021-01-01 09:00:00,29057.99,29357.23,29035.79,29262.2,1597.88,46680830.74
10,2021-01-01 10:00:00,29262.2,29389.85,29220.5,29282.49,1117.25,32759915.92
11,2021-01-01 11:00:00,29282.49,29464.23,29281.84,29374.97,1223.45,35931889.28
12,2021-01-01 12:00:00,29374.97,29666.33,29228.66,29301.21,3492.48,102939677.35
13,2021-01-01 13:00:00,29301.21,29538.45,29289.72,29531.66,1471.68,43335579.38
14,2021-01-01 14:00:00,29531.66,29604.53,29347.52,29391.36,1962.19,57825093.16
15,2021-01-01 15:00:00,29391.36,29454.36,29103.76,29249.99,2162.13,63324262.81
16,2021-01-01 16:00:00,29249.99,29419.66,29192.98,29366.5,1603.52,47027738.78
17,2021-01-01 17:00:00,29366.5,29403.89,29021.69,29142.17,3001.05,87669579.61
18,2021-01-01 18:00:00,29142.17,29317.54,28756.88,29129.74,4487.25,130274919.68
19,2021-01-01 19:00:00,29129.74,29190.61,29024.48,29103.64,1817.85,52942496.16
20,2021-01-01 20:00:00,29103.64,29345.76,28970.82,29299.9,2400.76,70163780.99
21,2021-01-01 21:00:00,29299.9,29360.24,29238.47,29242.18,1343.7,39352031.33
22,2021-01-01 22:00:00,29242.18,29393.93,29195.42,29338.37,1076.32,31569413.57
23,2021-01-01 23:00:00,29338.37,29399.14,29304.25,29388.94,939.13,27580512.56
24,2021-01-02 00:00:00,29388.94,29395.63,29036.26,29251.47,2000.23,58448171.98
25,2021-01-02 01:00:00,29251.47,29473.9,29177.73,29436.17,1481.38,43471536.62
26,2021-01-02 02:00:00,29436.17,29538.89,29393.23,29395.54,2045.5,60302105.3
27,2021-01-02 03:00:00,29395.54,29439.17,29331.37,29419.71,1030.27,30291661.67
28,2021-01-02 04:00:00,29419.71,29453.0,29296.72,29427.13,1218.4,35809115.78
29,2021-01-02 05:00:00,29427.13,29661.4,29422.7,29657.88,1774.01,52442312.52
30,2021-01-02 06:00:00,29657.88,29801.68,29544.84,29779.65,2360.86,70122440.56
31,2021-01-02 07:00:00,29779.65,29870.99,29714.33,29826.68,1912.16,56966382.91
32,2021-01-02 08:00:00,29826.68,29905.84,29723.53,29890.06,2253.02,67191661.95
33,2021-01-02 09:00:00,29890.06,29947.9,29646.29,29676.23,2251.69,67123104.33
34,2021-01-02 10:00:00,29676.23,29865.5,29552.06,29736.98,1732.73,51507559.41
35,2021-01-02 11:00:00,29736.98,29825.47,29700.9,29814.3,1080.66,32179161.86
36,2021-01-02 12:00:00,29814.3,30921.88,29799.51,30648.4,9570.53,290368183.27
37,2021-01-02 13:00:00,30648.4,31505.38,30576.63,31505.38,6966.21,216365794.25
38,2021-01-02 14:00:00,31505.38,31558.58,31131.62,31334.48,6374.79,199333472.17
39,2021-01-02 15:00:00,31334.48,31864.12,31232.45,31768.47,5638.74,177889783.33
40,2021-01-02 16:00:00,31768.47,33078.9,31764.5,32519.43,13685.58,444460633.93
41,2021-01-02 17:00:00,32519.43,33006.89,32481.73,32917.72,5701.43,186603469.12
42,2021-01-02 18:00:00,32917.72,33221.37,32515.39,33001.84,6619.45,217542302.4
43,2021-01-02 19:00:00,33001.84,33257.29,32796.5,33076.43,6114.23,202055834.86
44,2021-01-02 20:00:00,33076.43,33100.53,30673.89,30769.15,18350.88,587322439.26
45,2021-01-02 21:00:00,30769.15,31929.82,30409.1,31713.93,11629.66,365340710.53
46,2021-01-02 22:00:00,31713.93,32305.1,31461.53,32171.94,3975.17,127180797.15
47,2021-01-02 23:00:00,32171.94,32249.31,31702.22,32203.64,3447.18,110122182.74
48,2021-01-03 00:00:00,32203.64,32512.2,32010.59,32486.99,2891.96,93423582.21
49,2021-01-03 01:00:00,32486.99,32804.71,32266.14,32606.74,2437.1,79459548.66
50,2021-01-03 02:00:00,32606.74,32913.83,32593.65,32763.01,1882.99,61716085.24
51,2021-01-03 03:00:00,32763.01,32772.91,32493.59,32617.25,1639.67,53537655.07
52,2021-01-03 04:00:00,32617.25,33266.68,32486.27,33252.93,2268.55,74552538.71
53,2021-01-03 05:00:00,33252.93,34186.64,33155.4,33742.2,8689.34,293870102.82
54,2021-01-03 06:00:00,33742.2,34103.27,33670.1,33987.41,3452.61,117144832.58
55,2021-01-03 07:00:00,33987.41,34789.34,33801.71,34491.18,5624.49,193516242.68
56,2021-01-03 08:00:00,34491.18,34649.73,33848.76,34382.16,4592.87,157498401.67
57,2021-01-03 09:00:00,34382.16,34579.91,33868.31,34214.8,3467.18,118492598.03
58,2021-01-03 10:00:00,34214.8,34371.78,33497.31,33898.41,3833.77,129881029.26
59,2021-01-03 11:00:00,33898.41,34456.93,33817.9,34442.79,2625.86,89644934.83
60,2021-01-03 12:00:00,34442.79,34610.45,34006.59,34122.57,2308.15,79185381.06
61,2021-01-03 13:00:00,34122.57,34394.02,33854.6,33919.12,3147.24,107392628.98
62,2021-01-03 14:00:00,33919.12,34184.5,33552.65,33898.25,3981.07,134948381.41
63,2021-01-03 15:00:00,33898.25,33947.4,32915.74,33594.38,7064.43,235498155.07
64,2021-01-03 16:00:00,33594.38,33849.28,32620.75,32659.1,6717.36,223484612.51
65,2021-01-03 17:00:00,32659.1,33248.12,32509.8,32906.73,6045.73,198788471.0
66,2021-01-03 18:00:00,32906.73,33030.2,32284.68,32782.56,4466.08,145766536.34
67,2021-01-03 19:00:00,32782.56,32913.48,32465.07,32771.69,2352.28,76877579.13
68,2021-01-03 20:00:00,32771.69,33835.88,32738.2,33732.9,4839.07,161929051.9
69,2021-01-03 21:00:00,33732.9,33854.67,33549.93,33586.47,1803.56,60764207.26
70,2021-01-03 22:00:00,33586.47,33662.65,33032.61,33148.41,3419.84,113950742.09
71,2021-01-03 23:00:00,33148.41,33618.94,32730.69,33063.48,3959.79,131436016.03
72,2021-01-04 00:00:00,33063.48,33142.47,32448.3,32871.15,4587.79,150557645.05
73,2021-01-04 01:00:00,32871.15,33336.82,32635.58,33217.26,2580.36,85079035.48
74,2021-01-04 02:00:00,33217.26,33606.43,33007.44,33499.88,1974.83,65728893.42
75,2021-01-04 03:00:00,33499.88,33565.69,33226.75,33565.56,2160.73,72244434.65
76,2021-01-04 04:00:00,33565.56,33622.7,33240.09,33324.79,2287.78,76493374.23
77,2021-01-04 05:00:00,33287.7,33128.82,30810.4,32835.8,155173.86,5095258273.26
78,2021-01-04 06:00:00,32835.8,34988.27,32476.39,33353.08,235647.61,7859574225.98
79,2021-01-04 07:00:00,33258.06,33286.69,31691.86,32112.83,8866.92,286064855.47
80,2021-01-04 08:00:00,32112.83,32569.71,31449.35,32058.41,4653.01,149062344.43
81,2021-01-04 09:00:00,32058.41,32131.77,30360.25,31010.58,10235.85,318540239.89
82,2021-01-04 10:00:00,31010.58,31202.65,28493.29,30282.87,24583.2,723308472.53
83,2021-01-04 11:00:00,30282.87,30912.27,29413.26,30766.89,7453.66,224731446.1
84,2021-01-04 12:00:00,30766.89,31430.81,30489.28,31260.09,6328.14,196415683.71
85,2021-01-04 13:00:00,31260.09,31407.13,30620.53,31406.92,5320.64,165030552.82
86,2021-01-04 14:00:00,31406.92,32151.8,31406.81,32146.06,5619.21,178636626.02
87,2021-01-04 15:00:00,32146.06,32204.5,31595.06,31761.65,4592.66,146442718.61
88,2021-01-04 16:00:00,31761.65,31899.89,30731.56,31305.46,7017.49,218794015.04
89,2021-01-04 17:00:00,31305.46,31522.41,30623.04,30991.4,4208.23,130627435.86
90,2021-01-04 18:00:00,30991.4,31436.6,30991.4,31178.08,2903.33,90621653.37
91,2021-01-04 19:00:00,31178.08,31860.59,31131.44,31676.61,3000.36,94578170.01
92,2021-01-04 20:00:00,31676.61,31835.38,31227.92,31270.57,3303.3,104029086.51
93,2021-01-04 21:00:00,31270.57,31578.65,30873.76,31034.0,2790.12,86875793.47
94,2021-01-04 22:00:00,31034.0,31478.19,30970.37,31354.43,1765.34,55195741.3
95,2021-01-04 23:00:00,31354.43,32042.21,31168.44,32030.55,3275.57,103785989.4
96,2021-01-05 00:00:00,32030.55,32867.22,32018.02,32426.59,5863.86,190417387.61
97,2021-01-05 01:00:00,32426.59,32798.94,32287.65,32798.64,2684.81,87356631.38
98,2021-01-05 02:00:00,32798.64,32832.45,32268.29,32349.39,2328.57,75794352.76
99,2021-01-05 03:00:00,32349.39,32567.8,31191.92,31210.31,4747.38,150820929.7
100,2021-01-05 04:00:00,31210.31,31581.48,30471.7,30898.54,5997.68,186490948.88
101,2021-01-05 05:00:00,30898.54,31354.95,30046.33,30431.61,5000.99,153546330.8
102,2021-01-05 06:00:00,30431.61,31276.77,29985.29,31137.64,5238.15,160061065.25
103,2021-01-05 07:00:00,31137.64,31330.21,30781.86,30828.12,2167.41,67270883.72
104,2021-01-05 08:00:00,30828.12,31508.37,30825.84,31204.42,2232.82,69745447.23
105,2021-01-05 09:00:00,31204.42,31798.29,31202.44,31576.9,2002.83,63125353.87
106,2021-01-05 10:00:00,31576.9,31687.39,31145.0,31353.73,1919.08,60282696.04
107,2021-01-05 11:00:00,31353.73,31808.38,31314.55,31808.38,1640.64,51731978.45
108,2021-01-05 12:00:00,31808.38,32081.47,31615.12,31633.23,2750.74,87617036.57
109,2021-01-05 13:00:00,31633.23,31923.61,31493.79,31500.75,2157.59,68467195.01
110,2021-01-05 14:00:00,31500.75,32394.48,31165.59,32367.71,4406.67,139728116.29
111,2021-01-05 15:00:00,32367.71,32412.16,31985.62,32134.26,3073.46,98864954.08
112,2021-01-05 16:00:00,32134.26,32733.0,31860.43,32537.82,3864.79,125244244.88
113,2021-01-05 17:00:00,32537.82,32863.41,32317.47,32811.46,3199.54,104193638.28
114,2021-01-05 18:00:00,32811.46,33505.6,32731.32,33472.3,6388.72,212191804.55
115,2021-01-05 19:00:00,33472.3,34269.32,33241.12,33847.63,8387.24,283842686.92
116,2021-01-05 20:00:00,33847.63,34123.68,33460.26,34086.98,5657.97,191306742.32
117,2021-01-05 21:00:00,34086.98,34087.36,33605.74,33795.46,3599.59,121931916.89
118,2021-01-05 22:00:00,33795.46,34487.44,33795.46,34301.88,4310.1,147664584.2
119,2021-01-05 23:00:00,34301.88,34369.79,33784.61,34038.29,4114.81,139960100.51
120,2021-01-06 00:00:00,34038.29,34179.12,33404.2,33967.87,4480.62,151187901.24
121,2021-01-06 01:00:00,33967.87,34061.15,33575.6,33865.65,2446.44,82724658.83
122,2021-01-06 02:00:00,33865.65,34168.34,33829.67,33937.9,2747.61,93491466.76
123,2021-01-06 03:00:00,33937.9,34211.18,33733.69,34203.01,2189.04,74337913.89
124,2021-01-06 04:00:00,34203.01,35802.89,34182.57,35440.02,11810.77,414866821.27
125,2021-01-06 05:00:00,35440.02,35676.33,34693.41,35073.58,5899.29,207388401.58
126,2021-01-06 06:00:00,35073.58,35322.58,34883.35,35211.7,3534.28,123901340.91
127,2021-01-06 07:00:00,35211.7,35315.46,34457.15,34731.92,3566.57,124228645.07
128,2021-01-06 08:00:00,34731.92,35004.14,34086.65,34629.89,3987.91,137928120.89
129,2021-01-06 09:00:00,34629.89,34635.69,33724.72,33972.36,4078.81,138839028.48
130,2021-01-06 10:00:00,33972.36,34633.2,33926.71,34513.95,2781.9,95671795.93
131,2021-01-06 11:00:00,34513.95,35324.32,34451.02,35035.59,3951.47,138094728.69
132,2021-01-06 12:00:00,35035.59,35135.54,34557.79,35015.26,2892.95,100822655.24
133,2021-01-06 13:00:00,35015.26,35129.11,34410.73,34635.65,3278.49,113693272.74
134,2021-01-06 14:00:00,34635.65,34711.7,34198.34,34314.05,4002.41,137824091.7
135,2021-01-06 15:00:00,34314.05,34891.11,34265.77,34662.86,3161.05,109562659.3
136,2021-01-06 16:00:00,34662.86,35150.01,34479.24,34684.62,4792.34,167069092.82
137,2021-01-06 17:00:00,34684.62,35160.97,34642.94,34983.17,3238.61,113259559.65
138,2021-01-06 18:00:00,34983.17,35329.8,34983.17,35323.9,3495.22,123136024.2
139,2021-01-06 19:00:00,35323.9,35820.94,34776.49,34908.59,6057.3,215118833.71
140,2021-01-06 20:00:00,34908.59,36327.79,34347.64,36097.15,11378.44,401563061.72
141,2021-01-06 21:00:00,36097.15,36494.18,35759.71,35927.73,6351.74,229488021.25
142,2021-01-06 22:00:00,35927.73,36454.0,35776.9,36073.47,2799.96,101360527.37
143,2021-01-06 23:00:00,36073.47,36973.76,36050.22,36849.86,5267.53,192758852.49
144,2021-01-07 00:00:00,36849.86,37354.53,36512.75,37226.92,7287.75,269664792.84
145,2021-01-07 01:00:00,37226.92,37298.39,36762.78,36956.68,3596.83,133216541.1
146,2021-01-07 02:00:00,36956.68,37159.27,36554.54,37048.01,3111.99,114721151.19
147,2021-01-07 03:00:00,37048.01,37775.67,37036.87,37558.68,4131.03,154858214.44
148,2021-01-07 04:00:00,37558.68,37657.95,37167.05,37542.6,2975.52,111323810.81
149,2021-01-07 05:00:00,37542.6,37788.44,37269.6,37471.1,2430.01,91254886.52
